entity_name,property_name,tenant_name,ledger_type,ledger_group,ledger_category,ledger_code,ledger_description,month,quarter,year,profit
PropCo,Building 120,Tenant 1,expenses,general_expenses,accountant_costs,4370.0,Accountant costs,2024-M01,2024-Q1,2024,-0.0
,Building 140,Tenant 10,revenue,management_fees,administration_costs,4460.0,Administration costs,2024-M02,2024-Q2,2025,-0.01
,Building 160,Tenant 11,,rental_income,asset_management_fees,4611.0,Asset Management Fees,2024-M03,2024-Q3,,-0.02
,Building 17,Tenant 12,,sales_discounts,bank_charges,4650.0,Bank charges,2024-M04,2024-Q4,,-0.03
,Building 180,Tenant 13,,taxes_and_insurances,broker's_fees,4800.0,Broker's fee,2024-M05,2025-Q1,,-0.07
,,Tenant 14,,,directors_fee,4801.0,Director's Fee,2024-M06,,,-0.11
,,Tenant 15,,,expense_return,4805.0,Expenses Return,2024-M07,,,-0.2
,,Tenant 16,,,financial_expenses,4810.0,Insurance in general,2024-M08,,,-0.53
,,Tenant 17,,,insurance_in_general,4815.0,Interest loan AT,2024-M09,,,-0.55
,,Tenant 18,,,interest_mortgage,4820.0,Legal advice,2024-M10,,,-1.62
,,Tenant 2,,,legal_advice,4822.0,Maintenance Costs Owner,2024-M11,,,-1000.32
,,Tenant 3,,,maintenance_owner,4823.0,Non reclaimable SC,2024-M12,,,-10022.25
,,Tenant 4,,,non_reclaimable_sc,4825.0,Non reclaimable VAT,2025-M01,,,-101128.27
,,Tenant 5,,,non_reclaimable_vat,4828.0,Other Management Fees,2025-M02,,,-10132.38
,,Tenant 6,,,other_consultancy_costs,4829.0,Other consultancy costs,2025-M03,,,-1021.98
,,Tenant 7,,,other_general_expenses,4838.0,Other general costs,,,,-1041.62
,,Tenant 8,,,other_management_fees,4855.0,Owner expenses,,,,-1041.63
,,Tenant 9,,,permits_and_fees,4880.0,Permits / leges / etc.,,,,-1042.6
,,,,,proceeds_parking_taxed,4898.0,Proceeds Parking Tax,,,,-105.87
,,,,,proceeds_parking_untaxed,4998.0,Proceeds Parking untaxed,,,,-108.32
,,,,,proceeds_rent_untaxed,4999.0,Proceeds Rent untaxed,,,,-1081.39
,,,,,property_management_fees,8000.0,Property Management Fees,,,,-109.52
,,,,,real_estate_taxes,8001.0,Real estate tax,,,,-110.73
,,,,,rent_discount_taxed,8002.0,Rent discount taxed,,,,-111.94
,,,,,rent_discount_untaxed,8003.0,Rent discount untaxed,,,,-1110.6
,,,,,research_and_information,8004.0,Revenue Rent taxed,,,,-1113.91
,,,,,revenue_rent_taxed,8005.0,Success Fee,,,,-1125.0
,,,,,success_fees,8008.0,VAT compensation,,,,-113.16
,,,,,vat_compensation,,,,,,-113.17
,,,,,,,,,,,-114053.26
,,,,,,,,,,,-115320.52
,,,,,,,,,,,-116256.03
,,,,,,,,,,,-1164.9
,,,,,,,,,,,-116587.77
,,,,,,,,,,,-11697.38
,,,,,,,,,,,-1189.07
,,,,,,,,,,,-11934.38
,,,,,,,,,,,-12.0
,,,,,,,,,,,-1205.13
,,,,,,,,,,,-1208.95
,,,,,,,,,,,-1208.96
,,,,,,,,,,,-121.29
,,,,,,,,,,,-1227.63
,,,,,,,,,,,-123.56
,,,,,,,,,,,-1232.06
,,,,,,,,,,,-12357.64
,,,,,,,,,,,-1240.92
,,,,,,,,,,,-1242.48
,,,,,,,,,,,-12495.09
,,,,,,,,,,,-1254.63
,,,,,,,,,,,-12622.65
,,,,,,,,,,,-129.5
,,,,,,,,,,,-12956.05
,,,,,,,,,,,-13021.42
,,,,,,,,,,,-1312.59
,,,,,,,,,,,-1315.14
,,,,,,,,,,,-13267.58
,,,,,,,,,,,-13425.09
,,,,,,,,,,,-136.64
,,,,,,,,,,,-1361.16
,,,,,,,,,,,-1361.9
,,,,,,,,,,,-13653.54
,,,,,,,,,,,-13731.88
,,,,,,,,,,,-13789.38
,,,,,,,,,,,-13827.84
,,,,,,,,,,,-13863.09
,,,,,,,,,,,-140.7
,,,,,,,,,,,-1406.12
,,,,,,,,,,,-14250.0
,,,,,,,,,,,-143.46
,,,,,,,,,,,-1435.55
,,,,,,,,,,,-144.16
,,,,,,,,,,,-144.97
,,,,,,,,,,,-1449.72
,,,,,,,,,,,-145.62
,,,,,,,,,,,-145.75
,,,,,,,,,,,-14518.87
,,,,,,,,,,,-1459.47
,,,,,,,,,,,-146.56
,,,,,,,,,,,-148.48
,,,,,,,,,,,-1493.21
,,,,,,,,,,,-149772.12
,,,,,,,,,,,-15.58
,,,,,,,,,,,-1500.0
,,,,,,,,,,,-15000.0
,,,,,,,,,,,-153.66
,,,,,,,,,,,-153.84
,,,,,,,,,,,-1538.0
,,,,,,,,,,,-154.14
,,,,,,,,,,,-154415.07
,,,,,,,,,,,-1588.85
,,,,,,,,,,,-159.46
,,,,,,,,,,,-1615.5
,,,,,,,,,,,-164.77
,,,,,,,,,,,-164.8
,,,,,,,,,,,-16687.0
,,,,,,,,,,,-1698.3
,,,,,,,,,,,-17.02
,,,,,,,,,,,-17.57
,,,,,,,,,,,-17280.0
,,,,,,,,,,,-1731.56
,,,,,,,,,,,-174.23
,,,,,,,,,,,-17472.0
,,,,,,,,,,,-17474.36
,,,,,,,,,,,-17622.47
,,,,,,,,,,,-17664.0
,,,,,,,,,,,-18016.0
,,,,,,,,,,,-182.85
,,,,,,,,,,,-1851.21
,,,,,,,,,,,-18830.51
,,,,,,,,,,,-1894.09
,,,,,,,,,,,-19.17
,,,,,,,,,,,-19.22
,,,,,,,,,,,-19.69
,,,,,,,,,,,-1908.6
,,,,,,,,,,,-19441.08
,,,,,,,,,,,-1945.4
,,,,,,,,,,,-199.8
,,,,,,,,,,,-2.03
,,,,,,,,,,,-2.95
,,,,,,,,,,,-205.85
,,,,,,,,,,,-20571.04
,,,,,,,,,,,-208.5
,,,,,,,,,,,-21.7
,,,,,,,,,,,-21126.45
,,,,,,,,,,,-21336.88
,,,,,,,,,,,-2142.81
,,,,,,,,,,,-216.27
,,,,,,,,,,,-2177.25
,,,,,,,,,,,-218.64
,,,,,,,,,,,-219.2
,,,,,,,,,,,-221.46
,,,,,,,,,,,-222.12
,,,,,,,,,,,-225.0
,,,,,,,,,,,-2250.0
,,,,,,,,,,,-2254.47
,,,,,,,,,,,-226.39
,,,,,,,,,,,-22997.69
,,,,,,,,,,,-23.08
,,,,,,,,,,,-23.48
,,,,,,,,,,,-2307.0
,,,,,,,,,,,-2366.8
,,,,,,,,,,,-24.0
,,,,,,,,,,,-2437.75
,,,,,,,,,,,-24385.49
,,,,,,,,,,,-244.99
,,,,,,,,,,,-24667.99
,,,,,,,,,,,-24713.17
,,,,,,,,,,,-2481.2
,,,,,,,,,,,-2491.81
,,,,,,,,,,,-25.0
,,,,,,,,,,,-250.0
,,,,,,,,,,,-253.43
,,,,,,,,,,,-253.48
,,,,,,,,,,,-256.25
,,,,,,,,,,,-25713.77
,,,,,,,,,,,-2599.29
,,,,,,,,,,,-26.79
,,,,,,,,,,,-261.88
,,,,,,,,,,,-262.22
,,,,,,,,,,,-262.38
,,,,,,,,,,,-2633.9
,,,,,,,,,,,-267.31
,,,,,,,,,,,-270.96
,,,,,,,,,,,-270.99
,,,,,,,,,,,-271.43
,,,,,,,,,,,-275.0
,,,,,,,,,,,-2767.43
,,,,,,,,,,,-280.47
,,,,,,,,,,,-280.48
,,,,,,,,,,,-286.96
,,,,,,,,,,,-292.95
,,,,,,,,,,,-29250.0
,,,,,,,,,,,-294.69
,,,,,,,,,,,-29743.44
,,,,,,,,,,,-3000.0
,,,,,,,,,,,-303.11
,,,,,,,,,,,-3090.37
,,,,,,,,,,,-31.72
,,,,,,,,,,,-313.12
,,,,,,,,,,,-31830.42
,,,,,,,,,,,-3199.11
,,,,,,,,,,,-32.0
,,,,,,,,,,,-32088.54
,,,,,,,,,,,-324.15
,,,,,,,,,,,-32530.79
,,,,,,,,,,,-32944.33
,,,,,,,,,,,-33.18
,,,,,,,,,,,-3311.4
,,,,,,,,,,,-332.2
,,,,,,,,,,,-332.26
,,,,,,,,,,,-335.31
,,,,,,,,,,,-335.33
,,,,,,,,,,,-3380.74
,,,,,,,,,,,-339.98
,,,,,,,,,,,-3419.35
,,,,,,,,,,,-343.71
,,,,,,,,,,,-346.49
